GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report/backend,no.woact.ritand16,PasswordConfig,7,0,0,0,2,0,2,0,2,0
report/backend,no.woact.ritand16.entity,Quiz,59,0,0,0,26,0,17,0,17,0
report/backend,no.woact.ritand16.entity,Category,29,0,0,0,12,0,7,0,7,0
report/backend,no.woact.ritand16.entity,MatchStats,39,0,0,0,17,0,9,0,9,0
report/backend,no.woact.ritand16.entity,SubCategory,24,0,0,0,11,0,7,0,7,0
report/backend,no.woact.ritand16.entity,User,31,0,0,0,14,0,9,0,9,0
report/backend,no.woact.ritand16.service,MatchStatsService,85,0,4,0,19,0,6,0,4,0
report/backend,no.woact.ritand16.service,UserService,40,0,2,0,11,0,3,0,2,0
report/backend,no.woact.ritand16.service,CategoryService,110,0,8,0,24,0,11,0,7,0
report/backend,no.woact.ritand16.service,DefaultDataInitializerService,286,0,0,0,40,0,18,0,18,0
report/backend,no.woact.ritand16.service,QuizService,177,0,8,0,37,0,9,0,5,0
report/frontend,no.woact.ritand16.frontend,RedirectForwardHandler,5,0,0,0,2,0,2,0,2,0
report/frontend,no.woact.ritand16.frontend,WebSecurityConfig,102,0,0,0,30,0,4,0,4,0
report/frontend,no.woact.ritand16,Application,8,0,0,0,3,0,2,0,2,0
report/frontend,no.woact.ritand16.frontend.controller,UserInfoController,15,0,0,0,3,0,3,0,3,0
report/frontend,no.woact.ritand16.frontend.controller,MatchController,115,0,8,0,31,0,14,0,10,0
report/frontend,no.woact.ritand16.frontend.controller,SignUpController,61,0,4,0,20,0,8,0,6,0
